System,stock,Brood.Year,Recruits,X0.1,X0.2,X0.3,X0.4,X0.5,X1.1,X1.2,X1.3,X1.4,X1.5,X2.1,X2.2,X2.3,X2.4,X3.1,X3.2,X3.3,X3.4,Escapement
Bristol Bay,Alagnak,1967,389348.767825824,0,0,461.169500360227,1.2957224256456202e-9,0,5829.7840867585,260360.126735236,52163.0660470705,3.34789470951019e-10,0,2325.1893646584,59199.567021546,9009.8650701927,0,0,4.46309930385454e-10,0,0,202626
Bristol Bay,Alagnak,1968,249192.085927954,0,410.639439228765,6.491050910375151e-10,0,0,8143.46251247989,182414.447683053,52504.168379925,2129.56933443022,0,0,685.373335848824,2904.42524298189,2.4791339150832603e-9,0,9.262884038438211e-10,2.47916549875804e-9,0,193872
Bristol Bay,Alagnak,1969,180184.624183425,0,0,5.57891903016334e-10,0,0,7.0852196840766e-9,1353.56258474515,54756.5338009252,0,0,0,108529.167421717,15545.3603760262,1.02686710825617e-9,0,2.4791548163652704e-9,1.02731764771877e-9,0,182490
Bristol Bay,Alagnak,1970,145641.754553923,0,0,0,0,0,4.46384640164427e-10,78027.4800440757,58491.2016343907,0,0,9.26187812321765e-10,8320.09275050936,802.980124938575,0,0,1.0279032473947202e-9,6.411463560956291e-9,0,177060
Bristol Bay,Alagnak,1971,324752.485120437,0,0,0,0,0,1232.55460274746,28837.9158028944,56203.8034880226,0,0,0,30123.1698122469,207343.173211308,1.01039812050492e-7,0,6.41137435373797e-9,1011.86820311078,0,187302
Bristol Bay,Alagnak,1972,124167.556613979,0,0,1.02731764771877e-9,0,0,1462.13105593817,70319.7172587099,27572.1609527256,1.49688610441306e-8,0,1.0263018204556e-9,2.97670952157567e-8,2.13645956369201e-7,0,0,24813.5473463369,7.59686092322609e-9,0,151188
Bristol Bay,Alagnak,1973,512939.728662265,0,1.0279032473947202e-9,6.869425243487451e-9,3098.54886380714,0,0,2.10659443090841e-8,6686.6405200102,1377.89295868572,0,0,350599.519763644,3.79843046161305e-8,0,0,67511.8612755955,83665.2652804554,0,35280
Bristol Bay,Alagnak,1974,2290908.61717425,0,6.41137435373797e-9,1910.67000745713,0,0,0,722581.359778921,2.8488228459525e-8,1866.97784643386,0,6.38785807830887e-8,1551297.18495049,0.212863893700389,0,0,0.139271382524344,13252.0724555749,0,214848
Bristol Bay,Alagnak,1975,1022274.02510684,0,0,0,0,0,0,8.16422606991052e-8,467274.994785132,0,0,3.22550071716767e-8,0.0242000187400006,492798.395639225,2.29133900654207e-8,62200.6104823183,8.341391733827e-9,0,0,100480
Bristol Bay,Alagnak,1976,344708.627336561,0,2.46825439341932e-8,77257.4712808192,0,0,3.79470672674585e-8,0.0130203502526552,157897.417413923,2.20647459856215e-8,0,1.46139377608859,1.89349592362714e-6,94648.7997569247,14903.464468783,0,0,6.6720748779757e-9,0,81822
Bristol Bay,Alagnak,1977,1002659.12019333,0,0.01001323529726,3286.81206641765,0,0,163393.681931834,2.87778014771251e-7,689174.639419491,3.5584400418184e-8,0,0,2.63081103636135e-8,145046.234689796,0,0,6.672075462966141e-9,1757.74207219621,0,108910.5
Bristol Bay,Alagnak,1978,2175584.17054436,0,0,8.486417658112341e-9,0,0,0,561752.380683031,1026219.17470876,15371.0608474303,0,0,512955.087149749,2.14151240254241e-8,16536.7817638935,0,42749.6853914668,3.9922516109325e-9,0,584970
Bristol Bay,Alagnak,1979,2108487.73134386,0,0,1044.81687113527,6.425860241904291e-9,0,0,947783.062132826,81154.7648968063,14173.2301858467,0,16623.3375478586,1047576.63469065,1.06792730594515e-6,131.885017661589,0,6.01991608356505e-9,0,0,750210
Bristol Bay,Alagnak,1980,643094.996120484,0,0,4639.55552324307,0,0,0,1.71255923882087e-8,368591.127036937,2.0224626220516e-8,0,5.1303709269791e-8,269864.31356015,5.43051268172854e-8,5.29329126553748e-9,0,5.32327088431775e-9,0,0,759645
Bristol Bay,Alagnak,1981,1182706.20453576,0,0,3.9922516109325e-9,0,0,0,174414.656177659,1008291.54835751,9.263259713327061e-9,0,4.34331103477996e-7,1.59698126539881e-8,1.13997439818948e-7,4.60680458332264e-9,0,6.7617531699844606e-9,5.7933910723570904e-9,0,209635.5
Bristol Bay,Alagnak,1982,773488.003197974,0,0,6006.84824174571,3.9699684488804e-9,0,9.26298562014215e-8,3.30042794883352e-8,767481.154956002,4.60680458332264e-9,9.16630787476008e-9,0,2.29899607776359e-8,2.43322425082375e-8,2.20318046294116e-8,0,5.820924300502861e-9,7.58248689665636e-9,0,610215
Bristol Bay,Alagnak,1983,456604.252884,0,0,12695.2072989357,4.60680458332264e-9,0,6508.42670520188,3.11040645777601e-8,434065.17230692,9.79191316691768e-9,0,0,8.1492940204979e-8,1247.1611182917,7.820032864539211e-9,0,7.61123725830531e-9,2088.28545450842,0,245361
Bristol Bay,Alagnak,1984,2467946.88667784,0,560.95682528005,6532.22667584921,1631.85443605151,0,4.21669355077725e-8,403722.288022385,1250869.72502813,25116.4765357587,0,1.18251687032876e-7,4.31303444672068e-8,772146.242668685,4441.2484289395,2.32183667772561e-8,3.11160486710496e-8,2925.86805650053,0,549193.5
Bristol Bay,Alagnak,1985,1645392.70516788,1.96779032380369e-8,5.820924300502861e-9,39050.5991434939,0,0,6814.9115635197,86570.4268066248,792074.181830565,1.64782411877803e-8,0,2.90229584732625e-8,1.1314926788431e-8,720017.363924799,1.17603250647661e-8,0,8.29806429587195e-9,865.221898779114,0,300976.5
Bristol Bay,Alagnak,1986,2032311.18598628,0,1.0148316343717e-8,4.05342155850314e-8,2446.31050429707,0,1.97356117547953e-7,9.33481460050034e-8,954824.079690286,1.71700745897551e-7,0,3.99422731880819e-8,1.34843544838847e-7,1066241.36924701,2.40913341313303e-8,0,4.75304043837204e-9,8799.42654397623,0,586959
Bristol Bay,Alagnak,1987,770409.031561358,0,2.54585852711053e-8,2.25345876880538e-8,4.70413002379177e-9,0,1.33140910640605e-8,2.69687089578247e-8,394531.994668672,1.07072596161112e-8,0,3.48685556190173e-8,1.18826011011931e-8,374484.406268351,1.65058878646665e-8,0,1392.63062415989,8.244042381474851e-9,0,393235.5
Bristol Bay,Alagnak,1988,1273820.86609054,0,1.45216125220437e-8,7.092609020634021e-9,0,0,0,9.50608087674408e-9,638576.414798764,19833.5135331824,0,9.667689936106061e-9,615410.937758418,1.37400706340816e-8,6.58819523887475e-9,0,9.53502099242914e-8,2.02331912291433e-8,0,496306.5
Bristol Bay,Alagnak,1989,2741824.9795994,0,7.129560657558061e-9,5.344678205943781e-9,1365.06426922141,0,0,712704.841944845,1322636.53214485,12148.0542545946,0,7.71666475425494e-8,691211.909936563,4.49176845203496e-6,1758.57704471812,0,1.72377449711077e-8,6.5418843942260604e-9,0,501738
Bristol Bay,Alagnak,1990,1283664.68112388,0,0,3138.0810583256,240.762470498148,0,100366.256665957,3.46728036109283e-8,1174114.76128111,4214.61100071628,0,5.06417998013343e-8,1.75824998710406e-7,1.47192398921552e-8,0.00173175644592247,0,1.47282627407655e-8,1590.20691522818,0,430338
Bristol Bay,Alagnak,1991,3434249.08820511,0,8.66820090260566e-9,6.74439707431861e-9,3.2727157061769304e-9,0,23838.2984895964,1012274.36267232,2341905.26475263,0.00380049567626273,0,3.29127159845605e-7,8.182368186463411e-9,53630.1072266333,5.46083644190582e-9,0,2601.0512630669,4.693723444539581e-9,0,707851.95
Bristol Bay,Alagnak,1992,186844.237391923,0,6.8950979884430805e-9,35663.2823399376,824.636540821817,0,0,3.10929991138278e-8,150356.315653665,8.581314409772592e-9,0,1.17132253485751e-8,0.00285740572306929,1.17343086167266e-8,3.5315508967327e-9,0,1.57422939217745e-8,3.5315263581537403e-9,0,577939.65
Bristol Bay,Alagnak,1993,1506976.6751689,0,0,10456.9493118177,0,0,3.0119722311937e-8,1463.53901417289,957262.241291818,38.8758469816484,0,0,226712.783122949,311042.286581127,0,0,3.5316507861117804e-9,5.3689696478594e-9,0,887336.25
Bristol Bay,Alagnak,1994,1563841.36878177,0,8.9638578173912e-4,1616.27877449024,0,0,593413.382587727,9.60279929239396e-8,688616.328852843,11052.9787606826,3.10880601198955e-9,4.46890570593246e-8,1106.66577731393,259857.140844817,66.4397762967003,0,8112.1525110636,6.245576811282921e-9,0,618464.25
Bristol Bay,Alagnak,1995,3896348.93525366,0,0,0,11.8454513199873,0,0,2028132.49256904,1861831.56074104,974.450052062853,0,3.5323165856719904e-9,1922.91169605244,3421.64847890156,43.2210121753734,0,5.6201564093658e-9,10.8052530480746,0,550068.15
Bristol Bay,Alagnak,1996,1421615.41064948,0,0,0,0,0,0,40387.3104103675,1167710.21614416,204767.564320588,1.5707801437772901e-9,0,1162.69608485333,7234.11690859409,47.0123878670205,0,37.8183861976326,2.3594427643338703e-9,268.676006852196,782212.5
Bristol Bay,Alagnak,1997,1391084.83588885,0,0,55.3664802300998,0,0,5994.05323232873,1871.38703178611,625825.295889401,41421.5238420093,0,11.0732961268463,85372.1284523524,620197.121784919,10148.8363281517,8.90122087847162e-8,188.049551448435,3.8420735847491e-9,0,556193.25
Bristol Bay,Alagnak,1998,2777780.14973594,0,0,0,0,0,11639.2776076288,9903.0144088113,2422101.56698494,84.949876028748,0,8095.76288245844,269435.093626898,56520.4843491603,2.71998251376219e-9,0,3.84443235254419e-9,2.7199433876998304e-9,0,643110
Bristol Bay,Alagnak,1999,3726509.09425291,0,10.8052530374182,0,0,0,7.45947383447626e-8,802308.796826708,1213013.13415304,277.284352231964,0,47.0123878646724,646231.010504353,1053967.22420046,10608.0072092546,0,2.7199472734644602e-9,45.8193658784357,0,1182180
Bristol Bay,Alagnak,2000,9751334.59949091,0,0,13.2585138311569,287.751700399058,0,2051.16774657631,5559714.5741177,4007257.57007096,31485.8658864743,0,3.861875732248291e-9,34671.4739623912,115780.485602792,3.2806096258777203e-9,0,72.4518897741386,3.28054753785514e-9,0,1150000
Bristol Bay,Alagnak,2001,1677183.62402663,0,0,306.956264898706,4.03104410740263e-9,0,39954.2128738335,127914.746489427,1366722.79401102,12340.6681596462,3.3135185110729e-9,17.8963723393896,37516.6496544994,92409.7002009499,3.3133936676909703e-9,0,3.2814865405172603e-9,3.31346010470188e-9,0,680850
Bristol Bay,Alagnak,2002,3727487.51066277,0,0,6015.00169418383,0,0,14.6758327494927,1774631.8424627,1836230.7495599,4217.83212627334,0,2.6908225396372703e-9,67960.4396480406,38416.9693389115,3.2859874358163305e-9,0,3.31348145673886e-9,0,0,767000
Bristol Bay,Alagnak,2003,6701447.4485772,0,0,0,3.3133936676909703e-9,0,2.6908225396372703e-9,2760468.64933077,3797307.26418978,116853.805058819,0,3.28366455168492e-9,5381.48148886453,21436.2485089502,3.1254085987120804e-9,0,3.2862369541938e-9,0,0,3676146
Bristol Bay,Alagnak,2004,2514459.39660816,0,0,3.31346010470188e-9,0,0,1822.47544862809,860687.90830502,1378015.36806703,15868.2069265275,0,3.3137610944095303e-9,109723.987646765,148341.450214179,2.5668915783360303e-9,0,3.1255707592229e-9,2.56698451023395e-9,0,5400000
Bristol Bay,Alagnak,2005,2840332.37133191,0,0,0,3.1254085987120804e-9,0,3.3137610944095303e-9,741790.312619227,1855297.3901087,7216.02690298199,0,3.2871775560735503e-9,127545.81053188,108098.158579582,384.672589529831,0,2.5671123241115e-9,2.86265941105583e-9,0,4218990
Bristol Bay,Alagnak,2006,2439920.53882722,0,0,3.1254563354655e-9,2.5668915783360303e-9,0,1340.20655608377,666876.142702747,1577882.43049714,623.631330654093,1.14135169505531e-8,3.1261398344975104e-9,54790.9602076992,138224.739060253,4.15216517752765e-9,0,96.1682307894001,86.2602418277753,0,1773966
Bristol Bay,Alagnak,2007,2209679.91136689,0,0,2.56698451023395e-9,2.8625652633315604e-9,0,1625.2558897767599,500487.025407792,1099434.14260847,258.780643531974,0,2.56780172029575e-9,481557.63723259,126216.502114517,100.567470189928,0,4.1552277572469e-9,3.2961637774352204e-9,0,2470000
Bristol Bay,Alagnak,2008,1924725.40480746,0,0,96.1682307893999,4.15216517752765e-9,0,827.069827887814,507010.239894829,1252746.00091394,3907.46730385018,0,2.8638726851505202e-9,89671.5744372332,70466.8841989248,0,0,3.2963718489626705e-9,0,0,2180502
Bristol Bay,Alagnak,2009,1405166.24852021,0,0,0,0,0,0,461079.569026728,693019.595413266,848.311778983062,0,172.520401722919,117646.463620104,132394.059191204,4.45826701813556e-9,0,5.72908818864434,4.45814593177377e-9,0,971000
Bristol Bay,Alagnak,2010,6499066.44846954,0,0,100.567470189927,0,0,1.7679138243708e-8,735455.243207066,3182986.38969649,12833.2777791232,0,239.707313950701,1800823.19644013,766627.812276353,0,0,4.45819442169537e-9,0.254286211816703,0,1190000
Bristol Bay,Alagnak,2011,6167987.25900422,0,0,0.46774851302387,0,0,119.853551294052,3087316.40837724,2498861.49729535,2.75069123667195,41.1663793820297,0.0709541095271917,533352.511012736,48130.9857687361,111.501954043315,0,1.4201370391155,48.6251345441742,0,883794
Bristol Bay,Alagnak,2012,2828305.34942302,0,0,0,0,0,39747.7201641399,1123765.34372818,1614660.84343473,10639.6519160961,0,4.45836630198898e-9,22310.6646846369,17181.10597563,0,0,0,0.0195196116195635,0,861747
Bristol Bay,Alagnak,2013,3928289.44801163,0,0,0,0,0,2701.89355589335,2677120.7196576,1235289.75431945,457.583606882027,0,0,3197.52982869421,9521.96704205546,0,0,0,0,1.05131406838125e-6,1100000
Bristol Bay,Alagnak,2014,2284293.76249643,0,0,0,0,0,68087.6063347,1604307.41799767,586590.71872317,4.72790338023785e-9,1.05088788896461e-6,34.9838273588289,24204.1106338956,1067.88621967859,1.03875680003709,0,4.72807286377177e-9,1.05136646141431e-6,1.04232447688522e-6,189000
Bristol Bay,Alagnak,2015,4690732.02082716,0,0,0,0,1.05088788896461e-6,2697.7931794825,1230186.21043933,2693830.10412727,22635.2479337718,1.04247195246431e-6,0.284602196305099,19769.6190255919,716039.903527217,1.04232447688522e-6,0,1.05142607478163e-6,5572.85798709665,1.01553067203741e-6,5450000
Bristol Bay,Alagnak,2016,NA,0,0,0,1.05131406838125e-6,1.04247195246431e-6,4174.7281639448,1839803.77592278,2700670.95538421,8130.43204926644,1.01558792679519e-6,4.72844122536954e-9,359397.015765946,165740.139116154,1.5805635994367e-4,1.05161506160963e-6,215.150344426282,1.01552546312389e-6,NA,1677769
Bristol Bay,Alagnak,2017,NA,0,0,1.05136646141431e-6,1.04232447688522e-6,1.01558792679519e-6,6736.57856983127,2324175.58086693,2929533.34922464,6488.24452799558,NA,1400.86179311676,420868.003307823,843127.315708655,NA,1.04248478570975e-6,24.6032442714631,NA,NA,2040000
Bristol Bay,Alagnak,2018,NA,0,1.05142607478163e-6,1.04232511711975e-6,1.01553067203741e-6,NA,2.0116850855666e-4,1106969.18456073,1167190.07717771,NA,NA,1.04248478570975e-6,46741.7789867372,NA,NA,1.01559813089724e-6,NA,NA,NA,1581426
Bristol Bay,Alagnak,2019,NA,1.05161506160963e-6,1.04234650366073e-6,1.01552546312389e-6,NA,NA,8045.04392076137,474456.844944008,NA,NA,NA,9.29220725721122e-5,NA,NA,NA,NA,NA,NA,NA,820000
Bristol Bay,Alagnak,2020,NA,1.04248478570975e-6,1.01554029782639e-6,NA,NA,NA,1427.3332173873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2386518
Bristol Bay,Alagnak,2021,NA,1.01559813089724e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3240000
Bristol Bay,Alagnak,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1668222
Bristol Bay,Alagnak,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1099050
Bristol Bay,Alagnak,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2356560
Bristol Bay,Egegik,1955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Bristol Bay,Egegik,1956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,15612.098071971,0,NA
Bristol Bay,Egegik,1957,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,706515.782617949,0,NA,89605.8656558314,77749.253513625,0,NA
Bristol Bay,Egegik,1958,NA,NA,NA,NA,0,0,NA,NA,62982.4174894183,88.3046712795609,0,NA,1064195.56658017,290239.284113091,0,0,28636.9320919308,1945.99468763143,0,NA
Bristol Bay,Egegik,1959,NA,NA,NA,0,0,0,NA,50461.3757551481,155084.844135,782.408292686259,0,2486.66695484511,1246563.36415206,635809.187730824,129.529710539125,0,10515.0249304562,20303.7444967201,0,NA
Bristol Bay,Egegik,1960,NA,NA,0,0,0,0,0,213842.155925381,340500.308659228,1.8215993693962701e-9,0,397.259212380807,4134127.5327971,2347788.88831239,0,0,43856.6290291623,38323.9503664816,0,NA
Bristol Bay,Egegik,1961,NA,0,2.77221554954786e-5,6.45671792388145e-9,0,0,0,47269.2127993653,104163.889264195,1.5979560181261e-9,0,6.3796535382306e-9,383656.348945277,916276.145930265,8.06704364331525e-10,0,27631.832601467,8495.78532913576,0,NA
Bristol Bay,Egegik,1962,NA,0,0,1.8233540827483701e-9,0,0,6.3796535382306e-9,3547.20084853706,19755.1117753925,1.21005654602462e-9,0,404.820397896867,716891.189438435,309636.987032047,0,0,27596.2143070436,15424.9166957891,0,NA
Bristol Bay,Egegik,1963,993872.335021644,0,0,1024.70891009579,0,0,0,2667.33665751979,85596.9672014015,2.0092989015125504e-9,0,2263.72482183759,513647.200688717,298366.852208758,0,0,82830.8966920951,7474.64784121719,0,997602
Bristol Bay,Egegik,1964,1937882.20732286,0,0,1.61597304232158e-9,0,0,228.794500922907,61057.6685245574,36450.1269067563,0,0,5946.09094094016,1534886.7928236,222304.18945327,0,0,72732.3547754,4276.18939741307,0,849576
Bristol Bay,Egegik,1965,2388485.24706232,0,0,0,0,0,8.04382106022804e-10,24283.8692846673,10867.3518527134,1593.69179001061,0,24472.0456513048,1485853.91560223,811265.610024783,1013.29435110355,0,6338.10835351693,22797.360151992,0,1444608
Bristol Bay,Egegik,1966,2058270.99700996,0,2.0615956672029503e-9,177.389553657117,1.65861391857113e-9,0,0,145853.767287498,550527.837809223,1040.35872716327,0,105.296467375146,563055.124601477,781194.330667739,0,0,9642.39163612458,6674.50025970057,0,804246
Bristol Bay,Egegik,1967,1631431.11167461,0,0,1900.88110822245,1.9368432242436503e-9,0,0,56673.2733820222,188696.431887962,3.4437411069766703e-9,0,469.584662191999,748745.138068215,630902.243306623,1832.661162646,0,668.725277305092,1542.1728194185,0,636864
Bristol Bay,Egegik,1968,377056.07874012,0,1.6509119786395701e-9,1006.2711892986,0,0,0,20399.370710824,46666.2257564225,1.38737103007312e-9,0,0,90534.2234611752,200828.181241228,8546.22281257052,0,9.25191688525827e-10,9075.58356859796,0,338654
Bristol Bay,Egegik,1969,2755727.70787984,0,0,3.2262408461813903e-9,0,0,2.17534631317822e-7,8738.09020164235,103338.321305227,0,0,3357.56620665182,1090569.10541037,1178714.93914402,3.69015662746924e-8,0,371009.685610385,1.29415993008438e-6,0,1015554
Bristol Bay,Egegik,1970,1202584.35791506,0,0,0,0,0,3.4438438214234302e-9,106126.789447892,81044.9503667801,0,0,1.3874653410370701e-9,565759.842344481,1.1215028064301e-6,0,0,415534.034103902,34118.7416508814,0,919734
Bristol Bay,Egegik,1971,2700676.42781917,0,0,0,0,0,1.3874653410370701e-9,21238.0811683445,1.67021431998158e-7,0,0,3281.67884831183,1289361.41407833,1266964.97805026,8.162501439235e-9,0,55646.3766605822,64037.1991215939,146.699891571861,634014
Bristol Bay,Egegik,1972,2909902.03991984,0,0,4.25238615252408e-8,0,0,2.4028854565965904e-9,8.60229626853171e-8,72017.7825254225,186.400444197098,0,3.9991706197645e-8,1532499.67750337,1234294.4516882,0,0,56930.3995471188,13973.3282113637,0,546402
Bristol Bay,Egegik,1973,1451686.21168528,0,6.24690562369673e-8,2.28409670573505e-9,1.48409117067142e-9,0,0,35038.0514969548,75610.92360019,3.7049339790373e-9,0,438.287445848787,585164.945693657,724245.700117893,0,0,23869.1986368291,7319.10469383403,0,328842
Bristol Bay,Egegik,1974,2441308.44951373,0,1443.11383902978,1.44944356258867e-9,0,0,0,49637.8861743482,88787.3628684281,2.58723415516163e-5,0,12430.2677841938,1666318.81278854,561289.69555439,0,0,58938.98633319,2462.32414573648,0,1275630
Bristol Bay,Egegik,1975,3040168.76745736,0,0,0,0,0,0,55085.4064913055,151116.007140682,0,0,7278.98794096047,2234183.05779519,580804.416617557,1089.65599169702,5.7696815836501705e-9,8920.97610387471,1690.2593760851,0,1173840
Bristol Bay,Egegik,1976,4480474.69025333,0,147.672890090222,3.01159561016607e-6,0,0,3.6847252391334e-9,381107.074036953,452344.430146035,586.068050957991,0,53443.0014478203,2772401.05416945,820445.389508997,4.44735560386968e-9,0,0,4.44744882910981e-9,0,509160
Bristol Bay,Egegik,1977,4167610.04010687,0,2.88469176853312e-8,2.7771137071926304e-9,0,0,2322.47947198324,823006.34004229,1935491.15002476,11696.3413111042,0,1845.6220134943,628139.000824013,698974.783932973,0,0,58420.3828201536,7713.93966606405,0,692514
Bristol Bay,Egegik,1978,9914902.39786974,0,0,1.01808331192065e-8,0,0,0,387998.123655552,422634.677995225,859.613493686518,0,6740.84741303865,6590350.2315994,2484584.88846867,3.92085572175452e-9,0,13141.2240470647,8592.79119707635,0,895698
Bristol Bay,Egegik,1979,4039741.27916331,0,0,4.44744882910981e-9,6464.60060398413,0,2849.18178314747,657109.966080765,219730.835599905,3.92085572175452e-9,0,2251.36580569826,1973576.03352205,1176188.83574639,1570.46002135397,0,3.92377545374332e-9,0,0,1032042
Bristol Bay,Egegik,1980,8222418.16084804,0,0,23353.2719200404,0,0,4869.71121622341,706929.194513017,2450118.34732742,4963.21046043584,0,22071.5574295589,4056129.29245678,948854.162341329,2.48806146532473e-9,363.347519957434,4766.06566327571,0,0,1060860
Bristol Bay,Egegik,1981,5441585.87477155,0,0,3.92480236971083e-9,0,0,0,593439.336698787,432085.826268265,3247.1250334616,0,45078.0150934052,2883765.6916511,1470066.35522802,3.27900019802924e-9,0,6290.02737236589,7613.49742614421,0,694680
Bristol Bay,Egegik,1982,6435075.20973767,0,0,896.933636128239,2.48806146532473e-9,0,1756.18974199461,1215619.20920408,1929108.55719637,6501.05954303463,1.1460906034675e-4,11565.195699716,1689006.95305748,1557303.2419347,4.4222390905351405e-9,0,22289.9608311123,1027.90877844224,0,1034628
Bristol Bay,Egegik,1983,10811632.5729272,0,0,2.4857615800450502e-9,2.55161569810346,0,2413.37642764018,1279753.33388307,2553114.46233311,6397.3448609752,0,7273.00869965581,3484607.88307377,3439216.6486598,16751.740061726,0,13729.3222799437,8372.9010318328,0,792282
Bristol Bay,Egegik,1984,11766356.1514142,0,2.48407928896819e-9,1314.37297568597,4.4222390905351405e-9,0,484.08325696837,398395.698490898,637987.579001357,5627.43918805922,0,85549.4640201912,5245773.72787418,5130350.33121676,8675.30453627574,1895.13948093012,213206.33287632,37096.6784966189,0,1165345
Bristol Bay,Egegik,1985,6382682.84835985,2.47291335486948e-9,437.409441720984,143.680697333793,0,0,434.777004877546,425954.881389059,781317.551974892,2769.18963203962,0,33924.7866813519,4020182.86056915,1102467.0081613,4.58349809849968e-9,0,4118.73343716697,10931.9693709512,0,1095192
Bristol Bay,Egegik,1986,14207133.5325755,0,4.422743921346911e-9,2034.80014904503,3.85527560486302e-9,0,1408.97250800187,2415527.11158373,3246243.1863537,68372.9438783244,0,10806.6344763956,4062145.44830156,4210470.4769184,56070.4398252779,0,95077.4894715773,38976.0291095114,0,1150000
Bristol Bay,Egegik,1987,25731443.1009924,0,1249.52314308957,2368.24470376159,4.58349809849968e-9,0,4.6849870648238e-9,699118.622713006,4224764.3198417,134446.605866714,0,69292.0860577992,8870956.78766811,11458635.4830289,44043.8780110238,5631.41611790403,154845.923740518,66090.210099781,0,1270000
Bristol Bay,Egegik,1988,19465141.8372025,0,3.85457107039341e-9,2318.39341444498,0,0,1175.82513345731,296195.231657617,1049593.95412407,5736.63360333349,0,106273.639441212,11121318.3761393,6458564.46000748,3860.79366110212,0,257263.589975468,162840.940045053,0,1610000
Bristol Bay,Egegik,1989,10134483.3071884,0,4.57111688792456e-9,5.106304564835941e-9,4.92815422736291e-9,0,0,199211.883823385,251240.483423863,4115.28109650475,0,37449.1652156503,5179386.21914642,4242640.52504539,435.983434679026,2127.550880237,189470.881551753,28405.3335704703,0,1610000
