# FULL DATA LONG FORMAT FILE
# Generated from return table
# NOTE: total recruit calculations use ages 3-6. For last brood years of Bristol Bay stocks total recruits and age comp are incorrect. Need to fix/exclude.
System,River,ReturnYear,Total_Returns,Label,ReturnsByAgeClass,Age,FW_Winters,Mar_Winters,Euro,GR,BroodYear,RecruitsByAgeClass,MarineEntryYear,Total_Recruits,PercOfBrdYr,Total_Spawners_BroodYear,TotRecPerTotSpn,Total_EFS_BroodYear,PercEFS
Bristol Bay,Alagnak,1966,394077.159,AgeClass_1.2,110266.2436,4,1,2,1.2,4_2,1962,110266.2436,1964,252128.54070980265,43.73,NA,NA,NA,NA
Bristol Bay,Alagnak,1966,394077.159,AgeClass_2.1,0,4,2,1,2.1,4_3,1962,0,1965,252128.54070980265,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1966,394077.159,AgeClass_0.2,0,3,0,2,0.2,3_1,1963,0,1964,414873.3282990054,0,203304,2.040655020555451,NA,NA
Bristol Bay,Alagnak,1966,394077.159,AgeClass_1.1,0,3,1,1,1.1,3_2,1963,0,1965,414873.3282990054,0,203304,2.040655020555451,NA,NA
Bristol Bay,Alagnak,1966,394077.159,AgeClass_0.1,0,2,0,1,0.1,2_1,1964,0,1965,381899.90304700535,0,248700,1.5355846523803995,NA,NA
Bristol Bay,Alagnak,1967,344305.5856,AgeClass_3.4,0,8,3,4,3.4,8_4,1959,0,1963,1007787.5745917071,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1967,344305.5856,AgeClass_1.5,0,7,1,5,1.5,7_2,1960,0,1962,448153.5196680737,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1967,344305.5856,AgeClass_2.4,0,7,2,4,2.4,7_3,1960,0,1963,448153.5196680737,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1967,344305.5856,AgeClass_3.3,1.07e-9,7,3,3,3.3,7_4,1960,1.07e-9,1964,448153.5196680737,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1967,344305.5856,AgeClass_0.5,0,6,0,5,0.5,6_1,1961,0,1962,294558.5376342537,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1967,344305.5856,AgeClass_1.4,1.07e-9,6,1,4,1.4,6_2,1961,1.07e-9,1963,294558.5376342537,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1967,344305.5856,AgeClass_2.3,1.07e-9,6,2,3,2.3,6_3,1961,1.07e-9,1964,294558.5376342537,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1967,344305.5856,AgeClass_3.2,1.08e-9,6,3,2,3.2,6_4,1961,1.08e-9,1965,294558.5376342537,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1967,344305.5856,AgeClass_0.4,0,5,0,4,0.4,5_1,1962,0,1963,252128.54070980265,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1967,344305.5856,AgeClass_1.3,104885.0295,5,1,3,1.3,5_2,1962,104885.0295,1964,252128.54070980265,41.6,NA,NA,NA,NA
Bristol Bay,Alagnak,1967,344305.5856,AgeClass_2.2,1626.325711,5,2,2,2.2,5_3,1962,1626.325711,1965,252128.54070980265,0.65,NA,NA,NA,NA
Bristol Bay,Alagnak,1967,344305.5856,AgeClass_3.1,0,5,3,1,3.1,5_4,1962,0,1966,252128.54070980265,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1967,344305.5856,AgeClass_0.3,1.07e-9,4,0,3,0.3,4_1,1963,1.07e-9,1964,414873.3282990054,0,203304,2.040655020555451,NA,NA
Bristol Bay,Alagnak,1967,344305.5856,AgeClass_1.2,231001.9094,4,1,2,1.2,4_2,1963,231001.9094,1965,414873.3282990054,55.68,203304,2.040655020555451,NA,NA
Bristol Bay,Alagnak,1967,344305.5856,AgeClass_2.1,415.0233822,4,2,1,2.1,4_3,1963,415.0233822,1966,414873.3282990054,0.1,203304,2.040655020555451,NA,NA
Bristol Bay,Alagnak,1967,344305.5856,AgeClass_0.2,0,3,0,2,0.2,3_1,1964,0,1965,381899.90304700535,0,248700,1.5355846523803995,NA,NA
Bristol Bay,Alagnak,1967,344305.5856,AgeClass_1.1,6377.297622,3,1,1,1.1,3_2,1964,6377.297622,1966,381899.90304700535,1.67,248700,1.5355846523803995,NA,NA
Bristol Bay,Alagnak,1967,344305.5856,AgeClass_0.1,0,2,0,1,0.1,2_1,1965,0,1966,259728.90813360165,0,175020,1.483995589838885,NA,NA
Bristol Bay,Alagnak,1968,314033.5574,AgeClass_3.4,0,8,3,4,3.4,8_4,1960,0,1964,448153.5196680737,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1968,314033.5574,AgeClass_1.5,0,7,1,5,1.5,7_2,1961,0,1963,294558.5376342537,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1968,314033.5574,AgeClass_2.4,8.09e-10,7,2,4,2.4,7_3,1961,8.09e-10,1964,294558.5376342537,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1968,314033.5574,AgeClass_3.3,8.09e-10,7,3,3,3.3,7_4,1961,8.09e-10,1965,294558.5376342537,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1968,314033.5574,AgeClass_0.5,0,6,0,5,0.5,6_1,1962,0,1963,252128.54070980265,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1968,314033.5574,AgeClass_1.4,8.09e-10,6,1,4,1.4,6_2,1962,8.09e-10,1964,252128.54070980265,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1968,314033.5574,AgeClass_2.3,22573.01663,6,2,3,2.3,6_3,1962,22573.01663,1965,252128.54070980265,8.95,NA,NA,NA,NA
Bristol Bay,Alagnak,1968,314033.5574,AgeClass_3.2,812.6112988,6,3,2,3.2,6_4,1962,812.6112988,1966,252128.54070980265,0.32,NA,NA,NA,NA
Bristol Bay,Alagnak,1968,314033.5574,AgeClass_0.4,0,5,0,4,0.4,5_1,1963,0,1964,414873.3282990054,0,203304,2.040655020555451,NA,NA
Bristol Bay,Alagnak,1968,314033.5574,AgeClass_1.3,151684.1612,5,1,3,1.3,5_2,1963,151684.1612,1965,414873.3282990054,36.56,203304,2.040655020555451,NA,NA
Bristol Bay,Alagnak,1968,314033.5574,AgeClass_2.2,30953.02333,5,2,2,2.2,5_3,1963,30953.02333,1966,414873.3282990054,7.46,203304,2.040655020555451,NA,NA
Bristol Bay,Alagnak,1968,314033.5574,AgeClass_3.1,0,5,3,1,3.1,5_4,1963,0,1967,414873.3282990054,0,203304,2.040655020555451,NA,NA
Bristol Bay,Alagnak,1968,314033.5574,AgeClass_0.3,8.09e-10,4,0,3,0.3,4_1,1964,8.09e-10,1965,381899.90304700535,0,248700,1.5355846523803995,NA,NA
Bristol Bay,Alagnak,1968,314033.5574,AgeClass_1.2,97650.42155,4,1,2,1.2,4_2,1964,97650.42155,1966,381899.90304700535,25.57,248700,1.5355846523803995,NA,NA
Bristol Bay,Alagnak,1968,314033.5574,AgeClass_2.1,1880.281525,4,2,1,2.1,4_3,1964,1880.281525,1967,381899.90304700535,0.49,248700,1.5355846523803995,NA,NA
Bristol Bay,Alagnak,1968,314033.5574,AgeClass_0.2,0,3,0,2,0.2,3_1,1965,0,1966,259728.90813360165,0,175020,1.483995589838885,NA,NA
Bristol Bay,Alagnak,1968,314033.5574,AgeClass_1.1,8480.041847,3,1,1,1.1,3_2,1965,8480.041847,1967,259728.90813360165,3.26,175020,1.483995589838885,NA,NA
Bristol Bay,Alagnak,1968,314033.5574,AgeClass_0.1,0,2,0,1,0.1,2_1,1966,0,1967,565583.86624001,0,174336,3.2442172944200283,NA,NA
Bristol Bay,Alagnak,1969,324288.9552,AgeClass_3.4,0,8,3,4,3.4,8_4,1961,0,1965,294558.5376342537,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1969,324288.9552,AgeClass_1.5,0,7,1,5,1.5,7_2,1962,0,1964,252128.54070980265,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1969,324288.9552,AgeClass_2.4,0,7,2,4,2.4,7_3,1962,0,1965,252128.54070980265,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1969,324288.9552,AgeClass_3.3,2.16e-9,7,3,3,3.3,7_4,1962,2.16e-9,1966,252128.54070980265,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1969,324288.9552,AgeClass_0.5,0,6,0,5,0.5,6_1,1963,0,1964,414873.3282990054,0,203304,2.040655020555451,NA,NA
Bristol Bay,Alagnak,1969,324288.9552,AgeClass_1.4,2.16e-9,6,1,4,1.4,6_2,1963,2.16e-9,1965,414873.3282990054,0,203304,2.040655020555451,NA,NA
Bristol Bay,Alagnak,1969,324288.9552,AgeClass_2.3,819.2109868,6,2,3,2.3,6_3,1963,819.2109868,1966,414873.3282990054,0.2,203304,2.040655020555451,NA,NA
Bristol Bay,Alagnak,1969,324288.9552,AgeClass_3.2,2.16e-9,6,3,2,3.2,6_4,1963,2.16e-9,1967,414873.3282990054,0,203304,2.040655020555451,NA,NA
Bristol Bay,Alagnak,1969,324288.9552,AgeClass_0.4,0,5,0,4,0.4,5_1,1964,0,1965,381899.90304700535,0,248700,1.5355846523803995,NA,NA
Bristol Bay,Alagnak,1969,324288.9552,AgeClass_1.3,90731.09184,5,1,3,1.3,5_2,1964,90731.09184,1966,381899.90304700535,23.76,248700,1.5355846523803995,NA,NA
Bristol Bay,Alagnak,1969,324288.9552,AgeClass_2.2,112243.2976,5,2,2,2.2,5_3,1964,112243.2976,1967,381899.90304700535,29.39,248700,1.5355846523803995,NA,NA
Bristol Bay,Alagnak,1969,324288.9552,AgeClass_3.1,0,5,3,1,3.1,5_4,1964,0,1968,381899.90304700535,0,248700,1.5355846523803995,NA,NA
Bristol Bay,Alagnak,1969,324288.9552,AgeClass_0.3,0,4,0,3,0.3,4_1,1965,0,1966,259728.90813360165,0,175020,1.483995589838885,NA,NA
Bristol Bay,Alagnak,1969,324288.9552,AgeClass_1.2,110322.9586,4,1,2,1.2,4_2,1965,110322.9586,1967,259728.90813360165,42.48,175020,1.483995589838885,NA,NA
Bristol Bay,Alagnak,1969,324288.9552,AgeClass_2.1,509.9296836,4,2,1,2.1,4_3,1965,509.9296836,1968,259728.90813360165,0.2,175020,1.483995589838885,NA,NA
Bristol Bay,Alagnak,1969,324288.9552,AgeClass_0.2,2.16e-9,3,0,2,0.2,3_1,1966,2.16e-9,1967,565583.86624001,0,174336,3.2442172944200283,NA,NA
Bristol Bay,Alagnak,1969,324288.9552,AgeClass_1.1,9662.46649,3,1,1,1.1,3_2,1966,9662.46649,1968,565583.86624001,1.71,174336,3.2442172944200283,NA,NA
Bristol Bay,Alagnak,1969,324288.9552,AgeClass_0.1,0,2,0,1,0.1,2_1,1967,0,1968,389348.76779240207,0,202626,1.9215143554746286,NA,NA
Bristol Bay,Alagnak,1970,500779.5114,AgeClass_3.4,0,8,3,4,3.4,8_4,1962,0,1966,252128.54070980265,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1970,500779.5114,AgeClass_1.5,0,7,1,5,1.5,7_2,1963,0,1965,414873.3282990054,0,203304,2.040655020555451,NA,NA
Bristol Bay,Alagnak,1970,500779.5114,AgeClass_2.4,0,7,2,4,2.4,7_3,1963,0,1966,414873.3282990054,0,203304,2.040655020555451,NA,NA
Bristol Bay,Alagnak,1970,500779.5114,AgeClass_3.3,4.55e-9,7,3,3,3.3,7_4,1963,4.55e-9,1967,414873.3282990054,0,203304,2.040655020555451,NA,NA
Bristol Bay,Alagnak,1970,500779.5114,AgeClass_0.5,0,6,0,5,0.5,6_1,1964,0,1965,381899.90304700535,0,248700,1.5355846523803995,NA,NA
Bristol Bay,Alagnak,1970,500779.5114,AgeClass_1.4,0,6,1,4,1.4,6_2,1964,0,1966,381899.90304700535,0,248700,1.5355846523803995,NA,NA
Bristol Bay,Alagnak,1970,500779.5114,AgeClass_2.3,73017.51291,6,2,3,2.3,6_3,1964,73017.51291,1967,381899.90304700535,19.12,248700,1.5355846523803995,NA,NA
Bristol Bay,Alagnak,1970,500779.5114,AgeClass_3.2,4.55e-9,6,3,2,3.2,6_4,1964,4.55e-9,1968,381899.90304700535,0,248700,1.5355846523803995,NA,NA
Bristol Bay,Alagnak,1970,500779.5114,AgeClass_0.4,0,5,0,4,0.4,5_1,1965,0,1966,259728.90813360165,0,175020,1.483995589838885,NA,NA
Bristol Bay,Alagnak,1970,500779.5114,AgeClass_1.3,88347.84888,5,1,3,1.3,5_2,1965,88347.84888,1967,259728.90813360165,34.02,175020,1.483995589838885,NA,NA
Bristol Bay,Alagnak,1970,500779.5114,AgeClass_2.2,29040.27188,5,2,2,2.2,5_3,1965,29040.27188,1968,259728.90813360165,11.18,175020,1.483995589838885,NA,NA
Bristol Bay,Alagnak,1970,500779.5114,AgeClass_3.1,0,5,3,1,3.1,5_4,1965,0,1969,259728.90813360165,0,175020,1.483995589838885,NA,NA
Bristol Bay,Alagnak,1970,500779.5114,AgeClass_0.3,4.55e-9,4,0,3,0.3,4_1,1966,4.55e-9,1967,565583.86624001,0,174336,3.2442172944200283,NA,NA
Bristol Bay,Alagnak,1970,500779.5114,AgeClass_1.2,304544.0937,4,1,2,1.2,4_2,1966,304544.0937,1968,565583.86624001,53.85,174336,3.2442172944200283,NA,NA
Bristol Bay,Alagnak,1970,500779.5114,AgeClass_2.1,0,4,2,1,2.1,4_3,1966,0,1969,565583.86624001,0,174336,3.2442172944200283,NA,NA
Bristol Bay,Alagnak,1970,500779.5114,AgeClass_0.2,0,3,0,2,0.2,3_1,1967,0,1968,389348.76779240207,0,202626,1.9215143554746286,NA,NA
Bristol Bay,Alagnak,1970,500779.5114,AgeClass_1.1,5829.784087,3,1,1,1.1,3_2,1967,5829.784087,1969,389348.76779240207,1.5,202626,1.9215143554746286,NA,NA
Bristol Bay,Alagnak,1970,500779.5114,AgeClass_0.1,0,2,0,1,0.1,2_1,1968,0,1969,249192.08594400156,0,193872,1.2853433499628701,NA,NA
Bristol Bay,Alagnak,1971,537293.5245,AgeClass_3.4,0,8,3,4,3.4,8_4,1963,0,1967,414873.3282990054,0,203304,2.040655020555451,NA,NA
Bristol Bay,Alagnak,1971,537293.5245,AgeClass_1.5,0,7,1,5,1.5,7_2,1964,0,1966,381899.90304700535,0,248700,1.5355846523803995,NA,NA
Bristol Bay,Alagnak,1971,537293.5245,AgeClass_2.4,0,7,2,4,2.4,7_3,1964,0,1967,381899.90304700535,0,248700,1.5355846523803995,NA,NA
Bristol Bay,Alagnak,1971,537293.5245,AgeClass_3.3,1.66e-9,7,3,3,3.3,7_4,1964,1.66e-9,1968,381899.90304700535,0,248700,1.5355846523803995,NA,NA
Bristol Bay,Alagnak,1971,537293.5245,AgeClass_0.5,0,6,0,5,0.5,6_1,1965,0,1966,259728.90813360165,0,175020,1.483995589838885,NA,NA
Bristol Bay,Alagnak,1971,537293.5245,AgeClass_1.4,5497.060303,6,1,4,1.4,6_2,1965,5497.060303,1967,259728.90813360165,2.12,175020,1.483995589838885,NA,NA
Bristol Bay,Alagnak,1971,537293.5245,AgeClass_2.3,17530.79694,6,2,3,2.3,6_3,1965,17530.79694,1968,259728.90813360165,6.75,175020,1.483995589838885,NA,NA
Bristol Bay,Alagnak,1971,537293.5245,AgeClass_3.2,1.66e-9,6,3,2,3.2,6_4,1965,1.66e-9,1969,259728.90813360165,0,175020,1.483995589838885,NA,NA
Bristol Bay,Alagnak,1971,537293.5245,AgeClass_0.4,1.66e-9,5,0,4,0.4,5_1,1966,1.66e-9,1967,565583.86624001,0,174336,3.2442172944200283,NA,NA
Bristol Bay,Alagnak,1971,537293.5245,AgeClass_1.3,229247.617,5,1,3,1.3,5_2,1966,229247.617,1968,565583.86624001,40.53,174336,3.2442172944200283,NA,NA
Bristol Bay,Alagnak,1971,537293.5245,AgeClass_2.2,13317.46263,5,2,2,2.2,5_3,1966,13317.46263,1969,565583.86624001,2.35,174336,3.2442172944200283,NA,NA
Bristol Bay,Alagnak,1971,537293.5245,AgeClass_3.1,0,5,3,1,3.1,5_4,1966,0,1970,565583.86624001,0,174336,3.2442172944200283,NA,NA
Bristol Bay,Alagnak,1971,537293.5245,AgeClass_0.3,461.1695004,4,0,3,0.3,4_1,1967,461.1695004,1968,389348.76779240207,0.12,202626,1.9215143554746286,NA,NA
