"","System","River","BroodYear","Total_Recruits","AgeClass_0.1","AgeClass_0.2","AgeClass_0.3","AgeClass_0.4","AgeClass_0.5","AgeClass_1.1","AgeClass_1.2","AgeClass_1.3","AgeClass_1.4","AgeClass_1.5","AgeClass_2.1","AgeClass_2.2","AgeClass_2.3","AgeClass_2.4","AgeClass_3.1","AgeClass_3.2","AgeClass_3.3","AgeClass_3.4"
"63","Fraser River","Chilko",2010,2801090,0,0,0,0,NA,44119,2637175,111174,629,0,1164,6829,0,NA,NA,0,NA,NA
"64","Fraser River","Chilko",2011,972116,0,0,0,0,NA,3493,878488,87631,0,0,0,2504,0,NA,NA,0,NA,NA
"65","Fraser River","Chilko",2012,232523,0,0,0,0,NA,2479,195956,34088,0,0,0,0,0,NA,NA,0,NA,NA
"66","Fraser River","Chilko",2013,478616,0,0,0,0,NA,905,426237,51474,0,0,0,0,0,NA,NA,0,NA,NA
"67","Fraser River","Chilko",2014,1645136,0,0,0,0,NA,2932,1555820,84808,0,0,0,1422,154,NA,NA,0,NA,NA
"68","Fraser River","Chilko",2015,215880,0,0,0,0,NA,1480,164957,48227,0,0,104,1112,0,NA,NA,0,NA,NA
"69","Fraser River","Chilko",2016,39925,0,0,0,0,NA,157,26869,8291,0,NA,0,4608,0,NA,NA,0,NA,NA
"70","Fraser River","Chilko",2017,NA,0,0,0,0,NA,1149,1106873,40082,NA,NA,254,0,NA,NA,NA,NA,NA,NA
"71","Fraser River","Chilko",2018,NA,0,0,0,NA,NA,19531,1567086,96320,NA,NA,0,32680,NA,NA,NA,NA,NA,NA
"72","Fraser River","Chilko",2019,NA,0,0,NA,NA,NA,83,447000,10567,NA,NA,NA,11460,NA,NA,NA,NA,NA,NA
"73","Fraser River","Chilko",2020,NA,0,NA,NA,NA,NA,NA,87217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Fraser River","Chilko",2021,NA,NA,NA,NA,NA,NA,5953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Fraser River","Chilko",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Fraser River","Late Stuart",1948,327,0,0,0,0,NA,0,327,0,0,0,0,0,0,NA,NA,0,NA,NA
"77","Fraser River","Late Stuart",1949,1530202,0,0,0,0,NA,3433,1526554,0,0,0,0,215,0,NA,NA,0,NA,NA
"78","Fraser River","Late Stuart",1950,39681,0,0,0,0,NA,591,36671,2419,0,0,0,0,0,NA,NA,0,NA,NA
"79","Fraser River","Late Stuart",1951,63810,0,0,0,0,NA,0,56085,7559,0,0,0,166,0,NA,NA,0,NA,NA
"80","Fraser River","Late Stuart",1952,3973,0,0,0,0,NA,86,3858,29,0,0,0,0,0,NA,NA,0,NA,NA
"81","Fraser River","Late Stuart",1953,1552239,0,0,0,0,NA,830,1548072,1470,0,0,0,1867,0,NA,NA,0,NA,NA
"82","Fraser River","Late Stuart",1954,137965,0,0,0,0,NA,150,135111,2704,0,0,0,0,0,NA,NA,0,NA,NA
"83","Fraser River","Late Stuart",1955,51345,0,0,0,0,NA,29,50196,1120,0,0,0,0,0,NA,NA,0,NA,NA
"84","Fraser River","Late Stuart",1956,46102,0,0,0,0,NA,0,13472,32630,0,0,0,0,0,NA,NA,0,NA,NA
"85","Fraser River","Late Stuart",1957,1329884,0,0,0,0,NA,874,1327094,1916,0,0,0,0,0,NA,NA,0,NA,NA
"86","Fraser River","Late Stuart",1958,54677,0,0,0,0,NA,672,53044,961,0,0,0,0,0,NA,NA,0,NA,NA
"87","Fraser River","Late Stuart",1959,7392,0,0,0,0,NA,67,6092,1233,0,0,0,0,0,NA,NA,0,NA,NA
"88","Fraser River","Late Stuart",1960,9617,0,0,0,0,NA,27,6658,2932,0,0,0,0,0,NA,NA,0,NA,NA
"89","Fraser River","Late Stuart",1961,778478,0,0,0,0,NA,143,770385,7535,0,0,0,415,0,NA,NA,0,NA,NA
"90","Fraser River","Late Stuart",1962,45069,0,0,0,0,NA,45,43107,1917,0,0,0,0,0,NA,NA,0,NA,NA
"91","Fraser River","Late Stuart",1963,12049,0,0,0,0,NA,25,11911,113,0,0,0,0,0,NA,NA,0,NA,NA
"92","Fraser River","Late Stuart",1964,3101,0,0,0,0,NA,60,1806,1235,0,0,0,0,0,NA,NA,0,NA,NA
"93","Fraser River","Late Stuart",1965,1124519,0,0,0,0,NA,228,1102448,21752,0,0,0,91,0,NA,NA,0,NA,NA
"94","Fraser River","Late Stuart",1966,74079,0,0,0,0,NA,274,71954,1851,0,0,0,0,0,NA,NA,0,NA,NA
"95","Fraser River","Late Stuart",1967,16556,0,0,0,0,NA,224,6294,10038,0,0,0,0,0,NA,NA,0,NA,NA
"96","Fraser River","Late Stuart",1968,31299,0,0,0,0,NA,0,27393,3906,0,0,0,0,0,NA,NA,0,NA,NA
"97","Fraser River","Late Stuart",1969,1625590,0,0,0,0,NA,2756,1602892,19888,0,0,54,0,0,NA,NA,0,NA,NA
"98","Fraser River","Late Stuart",1970,70838,0,0,0,0,NA,318,70520,0,0,0,0,0,0,NA,NA,0,NA,NA
"99","Fraser River","Late Stuart",1971,66770,0,0,0,0,NA,1243,65527,0,0,0,0,0,0,NA,NA,0,NA,NA
"100","Fraser River","Late Stuart",1972,18766,0,0,0,0,NA,0,16180,2586,0,0,0,0,0,NA,NA,0,NA,NA
"101","Fraser River","Late Stuart",1973,666098,0,0,0,0,NA,290,658158,5807,0,0,0,1843,0,NA,NA,0,NA,NA
"102","Fraser River","Late Stuart",1974,50716,0,0,0,0,NA,855,48593,1268,0,0,0,0,0,NA,NA,0,NA,NA
"103","Fraser River","Late Stuart",1975,215116,0,0,0,0,NA,541,214097,478,0,0,0,0,0,NA,NA,0,NA,NA
"104","Fraser River","Late Stuart",1976,3339,0,0,0,0,NA,0,3339,0,0,0,0,0,0,NA,NA,0,NA,NA
"105","Fraser River","Late Stuart",1977,1357741,0,0,0,0,NA,104,1313861,43776,0,0,0,0,0,NA,NA,0,NA,NA
"106","Fraser River","Late Stuart",1978,79447,0,0,0,0,NA,699,69820,8928,0,0,0,0,0,NA,NA,0,NA,NA
"107","Fraser River","Late Stuart",1979,6854,0,0,0,0,NA,0,6854,0,0,0,0,0,0,NA,NA,0,NA,NA
"108","Fraser River","Late Stuart",1980,21440,0,0,0,0,NA,0,21440,0,0,0,0,0,0,NA,NA,0,NA,NA
"109","Fraser River","Late Stuart",1981,2033901,0,0,0,0,NA,0,1978010,55891,0,0,0,0,0,NA,NA,0,NA,NA
"110","Fraser River","Late Stuart",1982,60989,0,0,0,0,NA,193,52097,8699,0,0,0,0,0,NA,NA,0,NA,NA
"111","Fraser River","Late Stuart",1983,17944,0,0,0,0,NA,0,14195,3717,0,0,0,32,0,NA,NA,0,NA,NA
"112","Fraser River","Late Stuart",1984,14744,0,0,0,0,NA,222,14522,0,0,0,0,0,0,NA,NA,0,NA,NA
"113","Fraser River","Late Stuart",1985,3507629,0,0,0,0,NA,7755,3367086,132788,0,0,0,0,0,NA,NA,0,NA,NA
"114","Fraser River","Late Stuart",1986,816561,0,0,0,0,NA,264,725126,91171,0,0,0,0,0,NA,NA,0,NA,NA
"115","Fraser River","Late Stuart",1987,380071,0,0,0,0,NA,984,283932,95155,0,0,0,0,0,NA,NA,0,NA,NA
"116","Fraser River","Late Stuart",1988,208786,0,0,0,0,NA,1552,207234,0,0,0,0,0,0,NA,NA,0,NA,NA
"117","Fraser River","Late Stuart",1989,5327124,0,0,0,0,NA,20256,5162734,144134,0,0,0,0,0,NA,NA,0,NA,NA
"118","Fraser River","Late Stuart",1990,389823,0,0,0,0,NA,440,372685,16654,0,0,44,0,0,NA,NA,0,NA,NA
"119","Fraser River","Late Stuart",1991,109581,0,0,0,0,NA,354,91441,17786,0,0,0,0,0,NA,NA,0,NA,NA
"120","Fraser River","Late Stuart",1992,135399,0,0,0,0,NA,0,128970,6429,0,0,0,0,0,NA,NA,0,NA,NA
"121","Fraser River","Late Stuart",1993,3764256,0,0,0,0,NA,4082,3249145,511029,0,0,0,0,0,NA,NA,0,NA,NA
"122","Fraser River","Late Stuart",1994,115440,0,0,0,0,NA,0,108011,7429,0,0,0,0,0,NA,NA,0,NA,NA
"123","Fraser River","Late Stuart",1995,133454,0,0,0,0,NA,1366,92713,39375,0,0,0,0,0,NA,NA,0,NA,NA
"124","Fraser River","Late Stuart",1996,1023000,0,0,0,0,NA,607,810002,212391,0,0,0,0,0,NA,NA,0,NA,NA
"125","Fraser River","Late Stuart",1997,430895,0,0,0,0,NA,81,351715,79099,0,0,0,0,0,NA,NA,0,NA,NA
"126","Fraser River","Late Stuart",1998,277262,0,0,0,0,NA,312,264390,12560,0,0,0,0,0,NA,NA,0,NA,NA
"127","Fraser River","Late Stuart",1999,133622,0,0,0,0,NA,23,117520,16079,0,0,0,0,0,NA,NA,0,NA,NA
"128","Fraser River","Late Stuart",2000,913822,0,0,0,0,NA,1827,868657,42459,0,0,0,879,0,NA,NA,0,NA,NA
"129","Fraser River","Late Stuart",2001,505343,0,0,0,0,NA,29,415504,89810,0,0,0,0,0,NA,NA,0,NA,NA
"130","Fraser River","Late Stuart",2002,125952,0,0,0,0,NA,20,121483,4449,0,0,0,0,0,NA,NA,0,NA,NA
"131","Fraser River","Late Stuart",2003,21783,0,0,0,0,NA,11,15962,5810,0,0,0,0,0,NA,NA,0,NA,NA
"132","Fraser River","Late Stuart",2004,282178,0,0,0,0,NA,220,263681,18277,0,0,0,0,0,NA,NA,0,NA,NA
"133","Fraser River","Late Stuart",2005,128650,0,0,0,0,NA,89,105786,22775,0,0,0,0,0,NA,NA,0,NA,NA
"134","Fraser River","Late Stuart",2006,162912,0,0,0,0,NA,46,156805,6061,0,0,0,0,0,NA,NA,0,NA,NA
"135","Fraser River","Late Stuart",2007,12371,0,0,0,0,NA,81,5832,6458,0,0,0,0,0,NA,NA,0,NA,NA
"136","Fraser River","Late Stuart",2008,195237,0,0,0,0,NA,418,186682,8137,0,0,0,0,0,NA,NA,0,NA,NA
"137","Fraser River","Late Stuart",2009,253441,0,0,0,0,NA,47,218217,35177,0,0,0,0,0,NA,NA,0,NA,NA
"138","Fraser River","Late Stuart",2010,311934,0,0,0,0,NA,1119,276384,34431,0,0,0,0,0,NA,NA,0,NA,NA
"139","Fraser River","Late Stuart",2011,4850,0,0,0,0,NA,0,4528,322,0,0,0,0,0,NA,NA,0,NA,NA
"140","Fraser River","Late Stuart",2012,36071,0,0,0,0,NA,0,31733,4338,0,0,0,0,0,NA,NA,0,NA,NA
"141","Fraser River","Late Stuart",2013,235107,0,0,0,0,NA,2266,214773,18068,0,0,0,0,0,NA,NA,0,NA,NA
"142","Fraser River","Late Stuart",2014,320598,0,0,0,0,NA,632,310885,9081,0,0,0,0,0,NA,NA,0,NA,NA
"143","Fraser River","Late Stuart",2015,5843,0,0,0,0,NA,0,4948,895,0,0,0,0,0,NA,NA,0,NA,NA
"144","Fraser River","Late Stuart",2016,11591,0,0,0,0,NA,148,11443,0,0,NA,0,0,0,NA,NA,0,NA,NA
"145","Fraser River","Late Stuart",2017,NA,0,0,0,0,NA,70,467922,22782,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"146","Fraser River","Late Stuart",2018,NA,0,0,0,NA,NA,223,192496,41000,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"147","Fraser River","Late Stuart",2019,NA,0,0,NA,NA,NA,0,28000,2216,NA,NA,NA,475,NA,NA,NA,NA,NA,NA
"148","Fraser River","Late Stuart",2020,NA,0,NA,NA,NA,NA,NA,38313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Fraser River","Late Stuart",2021,NA,NA,NA,NA,NA,NA,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","Fraser River","Late Stuart",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Fraser River","Quesnel",1948,618,0,0,0,0,NA,0,618,0,0,0,0,0,0,NA,NA,0,NA,NA
"152","Fraser River","Quesnel",1949,486378,0,514,0,0,NA,22455,463409,0,0,0,0,0,0,NA,NA,0,NA,NA
"153","Fraser River","Quesnel",1950,2048,0,0,0,0,NA,34,2014,0,0,0,0,0,0,NA,NA,0,NA,NA
"154","Fraser River","Quesnel",1951,413,0,0,0,0,NA,0,413,0,0,0,0,0,0,NA,NA,0,NA,NA
"155","Fraser River","Quesnel",1952,562,0,0,0,0,NA,0,562,0,0,0,0,0,0,NA,NA,0,NA,NA
"156","Fraser River","Quesnel",1953,610245,0,0,0,0,NA,5902,604123,220,0,0,0,0,0,NA,NA,0,NA,NA
"157","Fraser River","Quesnel",1954,10692,0,0,0,0,NA,0,10692,0,0,0,0,0,0,NA,NA,0,NA,NA
"158","Fraser River","Quesnel",1955,180,0,0,0,0,NA,0,180,0,0,0,0,0,0,NA,NA,0,NA,NA
"159","Fraser River","Quesnel",1956,1133,0,0,0,0,NA,18,1115,0,0,0,0,0,0,NA,NA,0,NA,NA
"160","Fraser River","Quesnel",1957,999533,0,1420,0,0,NA,8359,989580,144,0,0,0,30,0,NA,NA,0,NA,NA
"161","Fraser River","Quesnel",1958,3412,0,0,0,0,NA,27,3362,23,0,0,0,0,0,NA,NA,0,NA,NA
"162","Fraser River","Quesnel",1959,165,0,0,0,0,NA,0,165,0,0,0,0,0,0,NA,NA,0,NA,NA
"163","Fraser River","Quesnel",1960,1475,0,0,0,0,NA,6,1469,0,0,0,0,0,0,NA,NA,0,NA,NA
"164","Fraser River","Quesnel",1961,1240890,0,0,0,0,NA,44481,1195807,509,0,0,0,93,0,NA,NA,0,NA,NA
"165","Fraser River","Quesnel",1962,7287,0,0,0,0,NA,30,7257,0,0,0,0,0,0,NA,NA,0,NA,NA
"166","Fraser River","Quesnel",1963,956,0,0,0,0,NA,0,956,0,0,0,0,0,0,NA,NA,0,NA,NA
"167","Fraser River","Quesnel",1964,2812,0,0,0,0,NA,0,2812,0,0,0,0,0,0,NA,NA,0,NA,NA
"168","Fraser River","Quesnel",1965,1667172,0,0,0,0,NA,14161,1652107,821,0,0,0,83,0,NA,NA,0,NA,NA
"169","Fraser River","Quesnel",1966,7462,0,0,0,0,NA,28,7038,396,0,0,0,0,0,NA,NA,0,NA,NA
"170","Fraser River","Quesnel",1967,1761,0,0,0,0,NA,11,1750,0,0,0,0,0,0,NA,NA,0,NA,NA
"171","Fraser River","Quesnel",1968,428,0,0,0,0,NA,0,428,0,0,0,0,0,0,NA,NA,0,NA,NA
"172","Fraser River","Quesnel",1969,1640832,0,69,0,0,NA,6413,1626582,7768,0,0,0,0,0,NA,NA,0,NA,NA
"173","Fraser River","Quesnel",1970,20339,0,0,0,0,NA,0,20339,0,0,0,0,0,0,NA,NA,0,NA,NA
"174","Fraser River","Quesnel",1971,747,0,0,0,0,NA,0,747,0,0,0,0,0,0,NA,NA,0,NA,NA
"175","Fraser River","Quesnel",1972,865,0,0,0,0,NA,9,856,0,0,0,0,0,0,NA,NA,0,NA,NA
"176","Fraser River","Quesnel",1973,2336434,0,527,0,0,NA,5114,2326864,3929,0,0,0,0,0,NA,NA,0,NA,NA
"177","Fraser River","Quesnel",1974,31024,0,0,0,0,NA,21,29304,1570,0,0,0,129,0,NA,NA,0,NA,NA
"178","Fraser River","Quesnel",1975,1865,0,0,0,0,NA,0,1865,0,0,0,0,0,0,NA,NA,0,NA,NA
"179","Fraser River","Quesnel",1976,1233,0,0,0,0,NA,0,1233,0,0,0,0,0,0,NA,NA,0,NA,NA
"180","Fraser River","Quesnel",1977,3878522,0,0,0,0,NA,8446,3810786,54029,0,0,0,5261,0,NA,NA,0,NA,NA
"181","Fraser River","Quesnel",1978,196724,0,0,0,0,NA,142,186073,10473,0,0,0,36,0,NA,NA,0,NA,NA
"182","Fraser River","Quesnel",1979,6011,0,0,0,0,NA,0,2103,3908,0,0,0,0,0,NA,NA,0,NA,NA
"183","Fraser River","Quesnel",1980,2446,0,0,0,0,NA,0,2446,0,0,0,0,0,0,NA,NA,0,NA,NA
"184","Fraser River","Quesnel",1981,9786652,0,0,0,0,NA,19608,9553856,213188,0,0,0,0,0,NA,NA,0,NA,NA
"185","Fraser River","Quesnel",1982,555542,0,0,0,0,NA,0,499074,56312,0,0,0,0,156,NA,NA,0,NA,NA
"186","Fraser River","Quesnel",1983,40412,0,0,0,0,NA,33,31515,8864,0,0,0,0,0,NA,NA,0,NA,NA
"187","Fraser River","Quesnel",1984,6953,0,0,0,0,NA,85,6868,0,0,0,0,0,0,NA,NA,0,NA,NA
"188","Fraser River","Quesnel",1985,12545239,0,2870,23700,0,NA,28135,12137664,334171,0,0,0,17706,993,NA,NA,0,NA,NA
"189","Fraser River","Quesnel",1986,2532784,0,0,0,0,NA,41,2364628,168115,0,0,0,0,0,NA,NA,0,NA,NA
"190","Fraser River","Quesnel",1987,176592,0,0,0,0,NA,11,119437,57144,0,0,0,0,0,NA,NA,0,NA,NA
"191","Fraser River","Quesnel",1988,26342,0,0,0,0,NA,0,26342,0,0,0,0,0,0,NA,NA,0,NA,NA
"192","Fraser River","Quesnel",1989,10641495,0,2122,0,0,NA,10417,10339444,280053,0,0,51,9408,0,NA,NA,0,NA,NA
"193","Fraser River","Quesnel",1990,3283634,0,0,0,0,NA,585,2946813,336236,0,0,0,0,0,NA,NA,0,NA,NA
"194","Fraser River","Quesnel",1991,151175,0,0,0,0,NA,26,100196,50671,0,0,0,282,0,NA,NA,0,NA,NA
"195","Fraser River","Quesnel",1992,29214,0,0,0,0,NA,1,29213,0,0,0,0,0,0,NA,NA,0,NA,NA
"196","Fraser River","Quesnel",1993,6851040,0,282,0,0,NA,1642,6446036,398551,0,0,0,4529,0,NA,NA,0,NA,NA
"197","Fraser River","Quesnel",1994,2477091,0,0,0,0,NA,248,2263471,212902,0,0,0,470,0,NA,NA,0,NA,NA
"198","Fraser River","Quesnel",1995,167306,0,0,0,0,NA,0,119078,48228,0,0,0,0,0,NA,NA,0,NA,NA
"199","Fraser River","Quesnel",1996,90690,0,0,0,0,NA,0,67906,19609,0,0,0,3175,0,NA,NA,0,NA,NA
"200","Fraser River","Quesnel",1997,4692773,0,1589,0,0,NA,79,4358762,318446,0,0,0,13897,0,NA,NA,0,NA,NA
"201","Fraser River","Quesnel",1998,4739875,0,0,0,0,NA,56,4467804,272015,0,0,0,0,0,NA,NA,0,NA,NA
"202","Fraser River","Quesnel",1999,810586,0,0,0,0,NA,0,581976,228610,0,0,0,0,0,NA,NA,0,NA,NA
"203","Fraser River","Quesnel",2000,53810,0,0,0,0,NA,0,38143,15667,0,0,0,0,0,NA,NA,0,NA,NA
"204","Fraser River","Quesnel",2001,3701006,0,4927,0,0,NA,42,3576455,115416,0,0,0,4166,0,NA,NA,0,NA,NA
"205","Fraser River","Quesnel",2002,640265,0,0,0,0,NA,38,603583,36207,0,0,0,437,0,NA,NA,0,NA,NA
"206","Fraser River","Quesnel",2003,143876,0,0,0,0,NA,0,82424,60604,0,0,0,848,0,NA,NA,0,NA,NA
