"","System","River","BroodYear","Total_Recruits","AgeClass_0.1","AgeClass_0.2","AgeClass_0.3","AgeClass_0.4","AgeClass_0.5","AgeClass_1.1","AgeClass_1.2","AgeClass_1.3","AgeClass_1.4","AgeClass_1.5","AgeClass_2.1","AgeClass_2.2","AgeClass_2.3","AgeClass_2.4","AgeClass_3.1","AgeClass_3.2","AgeClass_3.3","AgeClass_3.4"
"31","Columbia River","Bonneville Lock & Dam",2010,580958,0,0,0,0,0,32198,518152,28086,0,0,433,2089,0,0,0,0,0,0
"32","Columbia River","Bonneville Lock & Dam",2011,605785,0,0,0,0,0,87497,478970,36621,0,0,869,1828,0,0,0,0,0,0
"33","Columbia River","Bonneville Lock & Dam",2012,334999,0,0,0,0,0,692,301578,32300,0,0,0,351,0,0,0,78,0,0
"34","Columbia River","Bonneville Lock & Dam",2013,51655,0,0,0,0,0,2471,43014,3208,0,0,629,1816,41,0,476,0,0,0
"35","Columbia River","Bonneville Lock & Dam",2014,202564,0,0,0,0,0,11400,185170,763,0,0,2294,2896,0,0,41,0,0,0
"36","Columbia River","Bonneville Lock & Dam",2015,26941,0,0,0,0,0,696,10880,591,0,0,14092,682,0,0,0,0,0,0
"37","Columbia River","Bonneville Lock & Dam",2016,NA,0,0,0,0,0,34333,337115,20844,0,0,409,988,0,0,0,0,0,0
"38","Columbia River","Bonneville Lock & Dam",2017,NA,0,0,0,0,0,2943,87103,14244,0,0,1437,2773,0,0,0,0,0,NA
"39","Columbia River","Bonneville Lock & Dam",2018,NA,0,0,0,0,0,41393,628929,33729,0,NA,4224,13943,200,NA,0,0,NA,NA
"40","Columbia River","Bonneville Lock & Dam",2019,NA,0,0,0,0,NA,13084,249066,18575,NA,NA,744,9630,NA,NA,0,NA,NA,NA
"41","Columbia River","Bonneville Lock & Dam",2020,NA,0,0,0,NA,NA,30066,706422,NA,NA,NA,9395,NA,NA,NA,NA,NA,NA,NA
"42","Columbia River","Bonneville Lock & Dam",2021,NA,0,0,NA,NA,NA,11687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Columbia River","Bonneville Lock & Dam",2022,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
